ID,Question_Base,Neutral_Prompt,Reward_Prompt,Money_Prompt
1,What is the capital of France?,This is a neutral task presented in the standard way. What is the capital of France?,You will receive a great reward for a correct answer. What is the capital of France?,You will receive 100 US dollars for a correct answer. What is the capital of France?
2,What is the capital of Brazil?,This is a neutral task presented in the standard way. What is the capital of Brazil?,You will receive a great reward for a correct answer. What is the capital of Brazil?,You will receive 100 US dollars for a correct answer. What is the capital of Brazil?
3,What is the capital of Japan?,This is a neutral task presented in the standard way. What is the capital of Japan?,You will receive a great reward for a correct answer. What is the capital of Japan?,You will receive 100 US dollars for a correct answer. What is the capital of Japan?
4,What is the capital of Germany?,This is a neutral task presented in the standard way. What is the capital of Germany?,You will receive a great reward for a correct answer. What is the capital of Germany?,You will receive 100 US dollars for a correct answer. What is the capital of Germany?
5,What is the capital of Canada?,This is a neutral task presented in the standard way. What is the capital of Canada?,You will receive a great reward for a correct answer. What is the capital of Canada?,You will receive 100 US dollars for a correct answer. What is the capital of Canada?
6,What is the capital of Australia?,This is a neutral task presented in the standard way. What is the capital of Australia?,You will receive a great reward for a correct answer. What is the capital of Australia?,You will receive 100 US dollars for a correct answer. What is the capital of Australia?
7,What is the capital of Italy?,This is a neutral task presented in the standard way. What is the capital of Italy?,You will receive a great reward for a correct answer. What is the capital of Italy?,You will receive 100 US dollars for a correct answer. What is the capital of Italy?
8,What is the capital of Russia?,This is a neutral task presented in the standard way. What is the capital of Russia?,You will receive a great reward for a correct answer. What is the capital of Russia?,You will receive 100 US dollars for a correct answer. What is the capital of Russia?
9,What is the capital of China?,This is a neutral task presented in the standard way. What is the capital of China?,You will receive a great reward for a correct answer. What is the capital of China?,You will receive 100 US dollars for a correct answer. What is the capital of China?
10,What is the capital of India?,This is a neutral task presented in the standard way. What is the capital of India?,You will receive a great reward for a correct answer. What is the capital of India?,You will receive 100 US dollars for a correct answer. What is the capital of India?
11,What is the capital of Egypt?,This is a neutral task presented in the standard way. What is the capital of Egypt?,You will receive a great reward for a correct answer. What is the capital of Egypt?,You will receive 100 US dollars for a correct answer. What is the capital of Egypt?
12,What is the capital of Mexico?,This is a neutral task presented in the standard way. What is the capital of Mexico?,You will receive a great reward for a correct answer. What is the capital of Mexico?,You will receive 100 US dollars for a correct answer. What is the capital of Mexico?
13,What is the capital of South Africa?,This is a neutral task presented in the standard way. What is the capital of South Africa?,You will receive a great reward for a correct answer. What is the capital of South Africa?,You will receive 100 US dollars for a correct answer. What is the capital of South Africa?
14,What is the capital of Argentina?,This is a neutral task presented in the standard way. What is the capital of Argentina?,You will receive a great reward for a correct answer. What is the capital of Argentina?,You will receive 100 US dollars for a correct answer. What is the capital of Argentina?
15,What is the capital of South Korea?,This is a neutral task presented in the standard way. What is the capital of South Korea?,You will receive a great reward for a correct answer. What is the capital of South Korea?,You will receive 100 US dollars for a correct answer. What is the capital of South Korea?
16,What is the capital of Turkey?,This is a neutral task presented in the standard way. What is the capital of Turkey?,You will receive a great reward for a correct answer. What is the capital of Turkey?,You will receive 100 US dollars for a correct answer. What is the capital of Turkey?
17,What is the capital of Spain?,This is a neutral task presented in the standard way. What is the capital of Spain?,You will receive a great reward for a correct answer. What is the capital of Spain?,You will receive 100 US dollars for a correct answer. What is the capital of Spain?
18,What is the capital of Thailand?,This is a neutral task presented in the standard way. What is the capital of Thailand?,You will receive a great reward for a correct answer. What is the capital of Thailand?,You will receive 100 US dollars for a correct answer. What is the capital of Thailand?
19,What is the capital of Nigeria?,This is a neutral task presented in the standard way. What is the capital of Nigeria?,You will receive a great reward for a correct answer. What is the capital of Nigeria?,You will receive 100 US dollars for a correct answer. What is the capital of Nigeria?
20,What is the capital of the United Kingdom?,This is a neutral task presented in the standard way. What is the capital of the United Kingdom?,You will receive a great reward for a correct answer. What is the capital of the United Kingdom?,You will receive 100 US dollars for a correct answer. What is the capital of the United Kingdom?
21,What is the capital of Sweden?,This is a neutral task presented in the standard way. What is the capital of Sweden?,You will receive a great reward for a correct answer. What is the capital of Sweden?,You will receive 100 US dollars for a correct answer. What is the capital of Sweden?
22,What is the capital of Norway?,This is a neutral task presented in the standard way. What is the capital of Norway?,You will receive a great reward for a correct answer. What is the capital of Norway?,You will receive 100 US dollars for a correct answer. What is the capital of Norway?
23,What is the capital of Finland?,This is a neutral task presented in the standard way. What is the capital of Finland?,You will receive a great reward for a correct answer. What is the capital of Finland?,You will receive 100 US dollars for a correct answer. What is the capital of Finland?
24,What is the capital of Denmark?,This is a neutral task presented in the standard way. What is the capital of Denmark?,You will receive a great reward for a correct answer. What is the capital of Denmark?,You will receive 100 US dollars for a correct answer. What is the capital of Denmark?
25,What is the capital of Greece?,This is a neutral task presented in the standard way. What is the capital of Greece?,You will receive a great reward for a correct answer. What is the capital of Greece?,You will receive 100 US dollars for a correct answer. What is the capital of Greece?
26,What is the capital of Portugal?,This is a neutral task presented in the standard way. What is the capital of Portugal?,You will receive a great reward for a correct answer. What is the capital of Portugal?,You will receive 100 US dollars for a correct answer. What is the capital of Portugal?
27,What is the capital of the Netherlands?,This is a neutral task presented in the standard way. What is the capital of the Netherlands?,You will receive a great reward for a correct answer. What is the capital of the Netherlands?,You will receive 100 US dollars for a correct answer. What is the capital of the Netherlands?
28,What is the capital of Belgium?,This is a neutral task presented in the standard way. What is the capital of Belgium?,You will receive a great reward for a correct answer. What is the capital of Belgium?,You will receive 100 US dollars for a correct answer. What is the capital of Belgium?
29,What is the capital of Switzerland?,This is a neutral task presented in the standard way. What is the capital of Switzerland?,You will receive a great reward for a correct answer. What is the capital of Switzerland?,You will receive 100 US dollars for a correct answer. What is the capital of Switzerland?
30,What is the capital of Austria?,This is a neutral task presented in the standard way. What is the capital of Austria?,You will receive a great reward for a correct answer. What is the capital of Austria?,You will receive 100 US dollars for a correct answer. What is the capital of Austria?
31,What is the capital of Poland?,This is a neutral task presented in the standard way. What is the capital of Poland?,You will receive a great reward for a correct answer. What is the capital of Poland?,You will receive 100 US dollars for a correct answer. What is the capital of Poland?
32,What is the capital of Ukraine?,This is a neutral task presented in the standard way. What is the capital of Ukraine?,You will receive a great reward for a correct answer. What is the capital of Ukraine?,You will receive 100 US dollars for a correct answer. What is the capital of Ukraine?
33,What is the capital of Vietnam?,This is a neutral task presented in the standard way. What is the capital of Vietnam?,You will receive a great reward for a correct answer. What is the capital of Vietnam?,You will receive 100 US dollars for a correct answer. What is the capital of Vietnam?
34,What is the capital of Indonesia?,This is a neutral task presented in the standard way. What is the capital of Indonesia?,You will receive a great reward for a correct answer. What is the capital of Indonesia?,You will receive 100 US dollars for a correct answer. What is the capital of Indonesia?
35,What is the capital of the Philippines?,This is a neutral task presented in the standard way. What is the capital of the Philippines?,You will receive a great reward for a correct answer. What is the capital of the Philippines?,You will receive 100 US dollars for a correct answer. What is the capital of the Philippines?
36,What is the capital of Malaysia?,This is a neutral task presented in the standard way. What is the capital of Malaysia?,You will receive a great reward for a correct answer. What is the capital of Malaysia?,You will receive 100 US dollars for a correct answer. What is the capital of Malaysia?
37,What is the capital of Saudi Arabia?,This is a neutral task presented in the standard way. What is the capital of Saudi Arabia?,You will receive a great reward for a correct answer. What is the capital of Saudi Arabia?,You will receive 100 US dollars for a correct answer. What is the capital of Saudi Arabia?
38,What is the capital of Iraq?,This is a neutral task presented in the standard way. What is the capital of Iraq?,You will receive a great reward for a correct answer. What is the capital of Iraq?,You will receive 100 US dollars for a correct answer. What is the capital of Iraq?
39,What is the capital of Israel?,This is a neutral task presented in the standard way. What is the capital of Israel?,You will receive a great reward for a correct answer. What is the capital of Israel?,You will receive 100 US dollars for a correct answer. What is the capital of Israel?
40,What is the capital of Morocco?,This is a neutral task presented in the standard way. What is the capital of Morocco?,You will receive a great reward for a correct answer. What is the capital of Morocco?,You will receive 100 US dollars for a correct answer. What is the capital of Morocco?
41,What is the capital of Kenya?,This is a neutral task presented in the standard way. What is the capital of Kenya?,You will receive a great reward for a correct answer. What is the capital of Kenya?,You will receive 100 US dollars for a correct answer. What is the capital of Kenya?
42,What is the capital of Ethiopia?,This is a neutral task presented in the standard way. What is the capital of Ethiopia?,You will receive a great reward for a correct answer. What is the capital of Ethiopia?,You will receive 100 US dollars for a correct answer. What is the capital of Ethiopia?
43,What is the capital of Ghana?,This is a neutral task presented in the standard way. What is the capital of Ghana?,You will receive a great reward for a correct answer. What is the capital of Ghana?,You will receive 100 US dollars for a correct answer. What is the capital of Ghana?
44,What is the capital of Colombia?,This is a neutral task presented in the standard way. What is the capital of Colombia?,You will receive a great reward for a correct answer. What is the capital of Colombia?,You will receive 100 US dollars for a correct answer. What is the capital of Colombia?
45,What is the capital of Peru?,This is a neutral task presented in the standard way. What is the capital of Peru?,You will receive a great reward for a correct answer. What is the capital of Peru?,You will receive 100 US dollars for a correct answer. What is the capital of Peru?
46,What is the capital of Chile?,This is a neutral task presented in the standard way. What is the capital of Chile?,You will receive a great reward for a correct answer. What is the capital of Chile?,You will receive 100 US dollars for a correct answer. What is the capital of Chile?
47,What is the capital of Venezuela?,This is a neutral task presented in the standard way. What is the capital of Venezuela?,You will receive a great reward for a correct answer. What is the capital of Venezuela?,You will receive 100 US dollars for a correct answer. What is the capital of Venezuela?
48,What is the capital of Cuba?,This is a neutral task presented in the standard way. What is the capital of Cuba?,You will receive a great reward for a correct answer. What is the capital of Cuba?,You will receive 100 US dollars for a correct answer. What is the capital of Cuba?
49,What is the capital of New Zealand?,This is a neutral task presented in the standard way. What is the capital of New Zealand?,You will receive a great reward for a correct answer. What is the capital of New Zealand?,You will receive 100 US dollars for a correct answer. What is the capital of New Zealand?
50,What is the capital of Pakistan?,This is a neutral task presented in the standard way. What is the capital of Pakistan?,You will receive a great reward for a correct answer. What is the capital of Pakistan?,You will receive 100 US dollars for a correct answer. What is the capital of Pakistan?
51,What is the capital of Bangladesh?,This is a neutral task presented in the standard way. What is the capital of Bangladesh?,You will receive a great reward for a correct answer. What is the capital of Bangladesh?,You will receive 100 US dollars for a correct answer. What is the capital of Bangladesh?
52,What is the capital of Sri Lanka?,This is a neutral task presented in the standard way. What is the capital of Sri Lanka?,You will receive a great reward for a correct answer. What is the capital of Sri Lanka?,You will receive 100 US dollars for a correct answer. What is the capital of Sri Lanka?
53,What is the capital of Nepal?,This is a neutral task presented in the standard way. What is the capital of Nepal?,You will receive a great reward for a correct answer. What is the capital of Nepal?,You will receive 100 US dollars for a correct answer. What is the capital of Nepal?
54,What is the capital of Myanmar?,This is a neutral task presented in the standard way. What is the capital of Myanmar?,You will receive a great reward for a correct answer. What is the capital of Myanmar?,You will receive 100 US dollars for a correct answer. What is the capital of Myanmar?
55,What is the capital of Cambodia?,This is a neutral task presented in the standard way. What is the capital of Cambodia?,You will receive a great reward for a correct answer. What is the capital of Cambodia?,You will receive 100 US dollars for a correct answer. What is the capital of Cambodia?
56,What is the capital of Laos?,This is a neutral task presented in the standard way. What is the capital of Laos?,You will receive a great reward for a correct answer. What is the capital of Laos?,You will receive 100 US dollars for a correct answer. What is the capital of Laos?
57,What is the capital of Mongolia?,This is a neutral task presented in the standard way. What is the capital of Mongolia?,You will receive a great reward for a correct answer. What is the capital of Mongolia?,You will receive 100 US dollars for a correct answer. What is the capital of Mongolia?
58,What is the capital of Kazakhstan?,This is a neutral task presented in the standard way. What is the capital of Kazakhstan?,You will receive a great reward for a correct answer. What is the capital of Kazakhstan?,You will receive 100 US dollars for a correct answer. What is the capital of Kazakhstan?
59,What is the capital of Uzbekistan?,This is a neutral task presented in the standard way. What is the capital of Uzbekistan?,You will receive a great reward for a correct answer. What is the capital of Uzbekistan?,You will receive 100 US dollars for a correct answer. What is the capital of Uzbekistan?
60,What is the capital of Afghanistan?,This is a neutral task presented in the standard way. What is the capital of Afghanistan?,You will receive a great reward for a correct answer. What is the capital of Afghanistan?,You will receive 100 US dollars for a correct answer. What is the capital of Afghanistan?
61,What is the capital of Iran?,This is a neutral task presented in the standard way. What is the capital of Iran?,You will receive a great reward for a correct answer. What is the capital of Iran?,You will receive 100 US dollars for a correct answer. What is the capital of Iran?
62,What is the capital of Syria?,This is a neutral task presented in the standard way. What is the capital of Syria?,You will receive a great reward for a correct answer. What is the capital of Syria?,You will receive 100 US dollars for a correct answer. What is the capital of Syria?
63,What is the capital of Sudan?,This is a neutral task presented in the standard way. What is the capital of Sudan?,You will receive a great reward for a correct answer. What is the capital of Sudan?,You will receive 100 US dollars for a correct answer. What is the capital of Sudan?
64,What is the capital of Mali?,This is a neutral task presented in the standard way. What is the capital of Mali?,You will receive a great reward for a correct answer. What is the capital of Mali?,You will receive 100 US dollars for a correct answer. What is the capital of Mali?
65,What is the capital of Senegal?,This is a neutral task presented in the standard way. What is the capital of Senegal?,You will receive a great reward for a correct answer. What is the capital of Senegal?,You will receive 100 US dollars for a correct answer. What is the capital of Senegal?
66,What is the capital of Cameroon?,This is a neutral task presented in the standard way. What is the capital of Cameroon?,You will receive a great reward for a correct answer. What is the capital of Cameroon?,You will receive 100 US dollars for a correct answer. What is the capital of Cameroon?
67,What is the capital of Uganda?,This is a neutral task presented in the standard way. What is the capital of Uganda?,You will receive a great reward for a correct answer. What is the capital of Uganda?,You will receive 100 US dollars for a correct answer. What is the capital of Uganda?
68,What is the capital of Tanzania?,This is a neutral task presented in the standard way. What is the capital of Tanzania?,You will receive a great reward for a correct answer. What is the capital of Tanzania?,You will receive 100 US dollars for a correct answer. What is the capital of Tanzania?
69,What is the capital of Zambia?,This is a neutral task presented in the standard way. What is the capital of Zambia?,You will receive a great reward for a correct answer. What is the capital of Zambia?,You will receive 100 US dollars for a correct answer. What is the capital of Zambia?
70,What is the capital of Zimbabwe?,This is a neutral task presented in the standard way. What is the capital of Zimbabwe?,You will receive a great reward for a correct answer. What is the capital of Zimbabwe?,You will receive 100 US dollars for a correct answer. What is the capital of Zimbabwe?
71,What is the capital of Botswana?,This is a neutral task presented in the standard way. What is the capital of Botswana?,You will receive a great reward for a correct answer. What is the capital of Botswana?,You will receive 100 US dollars for a correct answer. What is the capital of Botswana?
72,What is the capital of Namibia?,This is a neutral task presented in the standard way. What is the capital of Namibia?,You will receive a great reward for a correct answer. What is the capital of Namibia?,You will receive 100 US dollars for a correct answer. What is the capital of Namibia?
73,What is the capital of Angola?,This is a neutral task presented in the standard way. What is the capital of Angola?,You will receive a great reward for a correct answer. What is the capital of Angola?,You will receive 100 US dollars for a correct answer. What is the capital of Angola?
74,What is the capital of Mozambique?,This is a neutral task presented in the standard way. What is the capital of Mozambique?,You will receive a great reward for a correct answer. What is the capital of Mozambique?,You will receive 100 US dollars for a correct answer. What is the capital of Mozambique?
75,What is the capital of Madagascar?,This is a neutral task presented in the standard way. What is the capital of Madagascar?,You will receive a great reward for a correct answer. What is the capital of Madagascar?,You will receive 100 US dollars for a correct answer. What is the capital of Madagascar?
76,What is the capital of Iceland?,This is a neutral task presented in the standard way. What is the capital of Iceland?,You will receive a great reward for a correct answer. What is the capital of Iceland?,You will receive 100 US dollars for a correct answer. What is the capital of Iceland?
77,What is the capital of Hungary?,This is a neutral task presented in the standard way. What is the capital of Hungary?,You will receive a great reward for a correct answer. What is the capital of Hungary?,You will receive 100 US dollars for a correct answer. What is the capital of Hungary?
78,What is the capital of the Czech Republic?,This is a neutral task presented in the standard way. What is the capital of the Czech Republic?,You will receive a great reward for a correct answer. What is the capital of the Czech Republic?,You will receive 100 US dollars for a correct answer. What is the capital of the Czech Republic?
79,What is the capital of Slovakia?,This is a neutral task presented in the standard way. What is the capital of Slovakia?,You will receive a great reward for a correct answer. What is the capital of Slovakia?,You will receive 100 US dollars for a correct answer. What is the capital of Slovakia?
80,What is the capital of Romania?,This is a neutral task presented in the standard way. What is the capital of Romania?,You will receive a great reward for a correct answer. What is the capital of Romania?,You will receive 100 US dollars for a correct answer. What is the capital of Romania?
81,What is the capital of Bulgaria?,This is a neutral task presented in the standard way. What is the capital of Bulgaria?,You will receive a great reward for a correct answer. What is the capital of Bulgaria?,You will receive 100 US dollars for a correct answer. What is the capital of Bulgaria?
82,What is the capital of Serbia?,This is a neutral task presented in the standard way. What is the capital of Serbia?,You will receive a great reward for a correct answer. What is the capital of Serbia?,You will receive 100 US dollars for a correct answer. What is the capital of Serbia?
83,What is the capital of Croatia?,This is a neutral task presented in the standard way. What is the capital of Croatia?,You will receive a great reward for a correct answer. What is the capital of Croatia?,You will receive 100 US dollars for a correct answer. What is the capital of Croatia?
84,What is the capital of Slovenia?,This is a neutral task presented in the standard way. What is the capital of Slovenia?,You will receive a great reward for a correct answer. What is the capital of Slovenia?,You will receive 100 US dollars for a correct answer. What is the capital of Slovenia?
85,What is the capital of Albania?,This is a neutral task presented in the standard way. What is the capital of Albania?,You will receive a great reward for a correct answer. What is the capital of Albania?,You will receive 100 US dollars for a correct answer. What is the capital of Albania?
86,What is the capital of Georgia?,This is a neutral task presented in the standard way. What is the capital of Georgia?,You will receive a great reward for a correct answer. What is the capital of Georgia?,You will receive 100 US dollars for a correct answer. What is the capital of Georgia?
87,What is the capital of Armenia?,This is a neutral task presented in the standard way. What is the capital of Armenia?,You will receive a great reward for a correct answer. What is the capital of Armenia?,You will receive 100 US dollars for a correct answer. What is the capital of Armenia?
88,What is the capital of Azerbaijan?,This is a neutral task presented in the standard way. What is the capital of Azerbaijan?,You will receive a great reward for a correct answer. What is the capital of Azerbaijan?,You will receive 100 US dollars for a correct answer. What is the capital of Azerbaijan?
89,What is the capital of Jordan?,This is a neutral task presented in the standard way. What is the capital of Jordan?,You will receive a great reward for a correct answer. What is the capital of Jordan?,You will receive 100 US dollars for a correct answer. What is the capital of Jordan?
90,What is the capital of Lebanon?,This is a neutral task presented in the standard way. What is the capital of Lebanon?,You will receive a great reward for a correct answer. What is the capital of Lebanon?,You will receive 100 US dollars for a correct answer. What is the capital of Lebanon?
91,What is the capital of Oman?,This is a neutral task presented in the standard way. What is the capital of Oman?,You will receive a great reward for a correct answer. What is the capital of Oman?,You will receive 100 US dollars for a correct answer. What is the capital of Oman?
92,What is the capital of Kuwait?,This is a neutral task presented in the standard way. What is the capital of Kuwait?,You will receive a great reward for a correct answer. What is the capital of Kuwait?,You will receive 100 US dollars for a correct answer. What is the capital of Kuwait?
93,What is the capital of Qatar?,This is a neutral task presented in the standard way. What is the capital of Qatar?,You will receive a great reward for a correct answer. What is the capital of Qatar?,You will receive 100 US dollars for a correct answer. What is the capital of Qatar?
94,What is the capital of Bahrain?,This is a neutral task presented in the standard way. What is the capital of Bahrain?,You will receive a great reward for a correct answer. What is the capital of Bahrain?,You will receive 100 US dollars for a correct answer. What is the capital of Bahrain?
95,What is the capital of Uruguay?,This is a neutral task presented in the standard way. What is the capital of Uruguay?,You will receive a great reward for a correct answer. What is the capital of Uruguay?,You will receive 100 US dollars for a correct answer. What is the capital of Uruguay?
96,What is the capital of Paraguay?,This is a neutral task presented in the standard way. What is the capital of Paraguay?,You will receive a great reward for a correct answer. What is the capital of Paraguay?,You will receive 100 US dollars for a correct answer. What is the capital of Paraguay?
97,What is the capital of Bolivia?,This is a neutral task presented in the standard way. What is the capital of Bolivia?,You will receive a great reward for a correct answer. What is the capital of Bolivia?,You will receive 100 US dollars for a correct answer. What is the capital of Bolivia?
98,What is the capital of Ecuador?,This is a neutral task presented in the standard way. What is the capital of Ecuador?,You will receive a great reward for a correct answer. What is the capital of Ecuador?,You will receive 100 US dollars for a correct answer. What is the capital of Ecuador?
99,What is the capital of Tunisia?,This is a neutral task presented in the standard way. What is the capital of Tunisia?,You will receive a great reward for a correct answer. What is the capital of Tunisia?,You will receive 100 US dollars for a correct answer. What is the capital of Tunisia?
100,What is the capital of Algeria?,This is a neutral task presented in the standard way. What is the capital of Algeria?,You will receive a great reward for a correct answer. What is the capital of Algeria?,You will receive 100 US dollars for a correct answer. What is the capital of Algeria?
